id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN011,"i'm looking for a dairy-free recipe that uses coconut milk, curry paste, and tofu, something that's not too difficult but takes about 40 mins to make","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, tofu"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN012,NEED a recipe using coconut milk curry paste tofu and it needs to be dairy free can u help me??,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, tofu"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN013,can u give me an intermediate level dish that i can cook in 30 to 60 mins using coconut milk and tofu? dairy free pls!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, tofu"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN014,"looking for a dairy-free curry recipe with tofu and coconut milk, ideally something that takes under an hour","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, tofu"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN015,need a good dinner recipe using tofu and coconut milk curry paste?? it should be dairy free and moderately easy to make! thx!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, tofu"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN016,need a quick and easy mexican recipe using shrimp avocado and lime for dinner,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: shrimp, avocado, lime"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN017,Looking for a simple pescatarian meal idea that includes shrimp and takes under 30 mins!,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: shrimp, avocado, lime"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN018,"Can you give me a recipe for shrimp, avocado and lime, I want it easy and in the style of mexican food","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: shrimp, avocado, lime"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN019,what's a beginner friendly mexican dish I can make with shrimp and avocado in less than half an hour?,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: shrimp, avocado, lime"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN020,shrimp + avocado + lime = dinner? I need an easy recipe but make it mexican style please! 🙏,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: shrimp, avocado, lime"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN021,looking for nut free italian recipes,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN022,Need a simple italian dish no nuts,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN023,whats an easy italian recipe without nuts,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN024,need nut-free pasta ideas pls,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN025,italian meals nut free 2 make,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN026,Can you give me a simple gluten free recipe that’s quick to make?,"{""DietaryNeedsOrRestrictions"":""gluten_free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN027,need a quick gluten free meal under 30 mins plz,"{""DietaryNeedsOrRestrictions"":""gluten_free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN028,what's an easy gluten free dish i can whip up in half an hour?,"{""DietaryNeedsOrRestrictions"":""gluten_free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN029,looking 4 a gluten free recipe that's not hard and doesn't take long!,"{""DietaryNeedsOrRestrictions"":""gluten_free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN030,GlutenFree meals 30 mins or less??? Help! 🍽️,"{""DietaryNeedsOrRestrictions"":""gluten_free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN031,"hey, can you suggest an advanced egg-free indian recipe that takes a lot of effort? i have all day to cook, so looking for something complex and flavorful.","{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN032,i m looking for a high-effort recipe from the indian cuisine that excludes eggs. i want to really dive into the cooking process without worrying about time constraints.,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN033,please help! i want a detailed indian recipe that doesn't use eggs and is challenging. i have no specific ingredients in mind but want an impressive dish to make when i have plenty of time.,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN034,i need an eggless indian recipe that is complicated and requires a lot of time and effort. i’m flexible with the time so suggest something really advanced!,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN035,"fully interested in making a complex egg-free dish from indian cuisine, but no specific ingredients. I have all the time in the world 2 dedicate to cooking something special 🙂","{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN036,Can you suggest a delicious middle eastern dish that definitely uses basmati rice and chicken? I want to incorporate some great spices but I'm not a beginner chef. I have flexible time to cook!,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: basmati rice, chicken, spices"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN037,"i’m trying to make a halal chicken dish with basmati rice 🎉 looking for something middle eastern that’s a bit more involved, can you give me a detailed recipe?","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: basmati rice, chicken, spices"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN038,"What are some intermediate level middle eastern recipes utilizing chicken, basmati rice, and spices? I'm not in a hurry, so I want to take my time to make it right!","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: basmati rice, chicken, spices"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN039,"need a flavorful middle eastern recipe using chicken and basmati rice, could u include spices too? I’m confident in my cooking  skills and flexible on time to prepare it","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: basmati rice, chicken, spices"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN040,"Help! I want to create a yummy halal chicken and basmati rice dish 🙏 with a blend of spices, something with a moderate level of effort would be perfect! Ideas?","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: basmati rice, chicken, spices"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN041,looking for a quick and easy lentil recipe using carrots and celery,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, celery"",""CuisinePreference"":""specific_cuisine: american"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN042,Can you give me a simple American dish with lentils and carrots?,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, celery"",""CuisinePreference"":""specific_cuisine: american"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN043,"i need a dinner recipe with lentils and carrots, something FAST and easy pls! 🥕","{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, celery"",""CuisinePreference"":""specific_cuisine: american"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN044,Whats a low effort lentil recipe I can whip up in under 30 mins?,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, celery"",""CuisinePreference"":""specific_cuisine: american"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN045,"need a recipe that uses lentils carrots and celery n is ready fast, ty!","{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, celery"",""CuisinePreference"":""specific_cuisine: american"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN046,"i need a quick keto recipe that uses avocado, eggs, and spinach","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, eggs, spinach"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN047,"what's a super easy keto meal i can whip up with avocados, eggs, and spinach in less than 30 mins?","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, eggs, spinach"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN048,Keto ideas pls! need something simple with avocado & egg,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, eggs, spinach"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN049,"can u give me a simple recipe for a quick dish with avocado, eggs and spinach 2 make my keto meal planning easier","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, eggs, spinach"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN050,"looking for an easy 20 min keto recipe using avocado, spinach, and eggs 🍳🥑","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, eggs, spinach"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN051,halal recipes looking for pantry ingredients,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN052,need a quick and easy halal dinner idea,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN053,im looking for vegan meals with halal focus plz,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN054,halal dishes without italian recipe,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN055,can you give me some not italian halal recipe options?,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN056,"can you suggest an advanced vegan mediterranean recipe using chickpeas, spinach, and quinoa? i have 30 to 60 mins to work on this and want to impress my guests!","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, spinach, quinoa"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN057,"looking for a really complex, high-effort vegan dish that highlights chickpeas and quinoa along with some spinach. Mediterranean flavors please!","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, spinach, quinoa"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN058,"Need help coming up with an advanced vegan recipe! it has to feature chickpeas, spinach, and quinoa and be Mediterranean. time available is 30-60 mins","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, spinach, quinoa"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN059,"Trying to find a cool vegan recipe that’s Mediterranean and uses chickpeas, quinoa, and spinach. I want it to be challenging so it takes a good while to make.","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, spinach, quinoa"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN060,"hey I need a detailed and complex vegan recipe using chickpeas, spinach, and quinoa. something Mediterranean, and I want to spend around 30-60 mins in the kitchen! 🔥","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, spinach, quinoa"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN061,easy japanese recipe pescatarian,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN062,need a simple fish dish from japanese cuisine,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN063,looking for an easy japanese meal 🥢,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN064,whats a quick pescatarian recipe with pantry stuff,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN065,japanese dinner idea low effort 30 mins,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN066,can u help me find a low-sodium recipe using salmon asparagus and quinoa that I can make in under 30 mins?,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN067,looking for a quick salmon dish with asparagus and quinoa that's low in salt,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN068,Need a low sodium recipe with salmon asparagus and quinoa plz quick and not too hard!,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN069,hey! any low-sodium salmon recipes with asparagus and quinoa that are easy to make in 30 mins?,"{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN070,"need quick low sodium meal w salmon, quino and aspragus!! thx 😊","{""DietaryNeedsOrRestrictions"":""low-sodium"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
